PRSN,ADDRESS,Dataset Origin
705486,77 FRONT ST E,Both Datasets
739589,582 SHERBOURNE ST ,Both Datasets
739590,28 LINDEN ST ,IBMS Data
737689,2 A FERN AVE ,Both Datasets
752077,57 WINCHESTER ST ,Both Datasets
741717,135 GEORGE ST ,Both Datasets
274222,6 ANCROFT PL ,IBMS Data
745553,93 CHARLES ST W,IBMS Data
601162,155 DALHOUSIE ST ,Both Datasets
274232,17 ANCROFT PL ,IBMS Data
274234,18 ANCROFT PL ,IBMS Data
601148,155 DALHOUSIE ST ,Both Datasets
741740,59 R ADMIRAL RD ,Both Datasets
741741,59 ADMIRAL RD ,Both Datasets
741724,0 EAST LIBERTY ST ,Both Datasets
741725,0 EAST LIBERTY ST ,Both Datasets
740435,386 SUMACH ST ,IBMS Data
716281,19 MERCER ST ,IBMS Data
719932,33 MERCER ST ,IBMS Data
737066,17 A WYCHWOOD PK ,Both Datasets
737067,17 WYCHWOOD PK ,Both Datasets
399185,141 RIVERVIEW DR ,Both Datasets
321374,0 MILLWOOD RD ,Both Datasets
324271,0 MILLWOOD RD ,Both Datasets
207630,0 TORONTO ISLANDS  ,Both Datasets
460858,0 STRATHEARN RD ,Both Datasets
321110,0 MILLWOOD RD ,Both Datasets
629084,0 EAST LIBERTY ST ,Both Datasets
629086,0 EAST LIBERTY ST ,Both Datasets
568129,0 MIMICO AVE ,IBMS Data
736196,3131 LAKE SHORE BLVD W,Both Datasets
681927,0 EAST LIBERTY ST ,Both Datasets
681928,0 EAST LIBERTY ST ,Both Datasets
681929,0 EAST LIBERTY ST ,Both Datasets
681930,0 EAST LIBERTY ST ,Both Datasets
681931,0 EAST LIBERTY ST ,Both Datasets
681932,0 EAST LIBERTY ST ,Both Datasets
681924,0 EAST LIBERTY ST ,Both Datasets
681925,0 EAST LIBERTY ST ,Both Datasets
681926,0 EAST LIBERTY ST ,Both Datasets
730613,575 A COLLEGE ST ,IBMS Data
730617,578 A COLLEGE ST ,IBMS Data
730635,214 KING ST E,IBMS Data
734414,20 MCKEE AVE ,Both Datasets
729435,60 LAING ST ,IBMS Data
730754,285 MUTUAL ST ,IBMS Data
736054,1046 YONGE ST ,Both Datasets
731565,90 LYNN WILLIAMS ST ,IBMS Data
730813,80 A YORK BLVD ,IBMS Data
730833,190 OBSERVATORY RD ,IBMS Data
730831,10 HOOVER RD ,IBMS Data
736027,5 KING ST W,Both Datasets
728633,68 YONGE ST ,Both Datasets
728634,70 YONGE ST ,Both Datasets
730608,66 YONGE ST ,Both Datasets
734399,5365 LESLIE ST ,Both Datasets
731171,10 LYNN WILLIAMS ST ,IBMS Data
731010,340 MAJOR ST ,IBMS Data
735979,155 RICHMOND ST E,IBMS Data
729310,393 BRUNSWICK AVE ,IBMS Data
731170,30 LYNN WILLIAMS ST ,IBMS Data
730228,70 MILL ST ,IBMS Data
734350,2335 JANE ST ,Both Datasets
750845,80 BPNICHOL LANE ,Both Datasets
728635,200 PARKSIDE DR ,IBMS Data
734997,921 KING ST W,IBMS Data
735607,7 BULWER ST ,IBMS Data
729489,316 QUEEN ST W,IBMS Data
732759,470 TORONTO SHORELINE  ,IBMS Data
730057,86 BLOOR ST W,Both Datasets
730580,88 BLOOR ST W,IBMS Data
735368,4 TADDLE CREEK RD ,IBMS Data
735369,8 TADDLE CREEK RD ,IBMS Data
735737,217 KING ST E,Both Datasets
729851,611 YONGE ST ,IBMS Data
734011,5 AVONWICK GT ,Both Datasets
730225,113 MAITLAND ST ,IBMS Data
730083,99 MAITLAND ST ,Both Datasets
730440,111 MAITLAND ST ,IBMS Data
730441,105 MAITLAND ST ,IBMS Data
730442,103 MAITLAND ST ,IBMS Data
730443,101 MAITLAND ST ,IBMS Data
735617,296 FRONT ST E,Both Datasets
735820,45 PARLIAMENT ST ,IBMS Data
735821,55 PARLIAMENT ST ,Both Datasets
734457,37 ELM AVE ,IBMS Data
735536,2533 LAKE SHORE BLVD W,IBMS Data
729530,2535 LAKE SHORE BLVD W,IBMS Data
730494,110 A CRESCENT RD ,IBMS Data
730459,10 HENRY ST ,IBMS Data
730460,26 HENRY ST ,IBMS Data
730461,24 HENRY ST ,IBMS Data
730462,22 HENRY ST ,IBMS Data
730463,20 HENRY ST ,IBMS Data
730464,18 HENRY ST ,IBMS Data
730465,16 HENRY ST ,IBMS Data
730466,14 HENRY ST ,IBMS Data
730467,12 HENRY ST ,IBMS Data
730468,8 HENRY ST ,IBMS Data
732210,12 B HENRY ST ,IBMS Data
730078,19 R RIVER ST ,Both Datasets
728811,5 YUKON PL ,IBMS Data
730634,281 MUTUAL ST ,IBMS Data
729875,380 JARVIS ST ,IBMS Data
730224,372 JARVIS ST ,Both Datasets
730453,350 JARVIS ST ,IBMS Data
734996,128 EAST LIBERTY ST ,IBMS Data
750851,395 HURON ST ,Both Datasets
750852,397 HURON ST ,Both Datasets
730455,11 HUBBARD BLVD ,IBMS Data
730456,7 HUBBARD BLVD ,IBMS Data
730457,3 HUBBARD BLVD ,IBMS Data
728816,160 PRINCES BLVD ,Both Datasets
729485,140 PRINCES BLVD ,IBMS Data
214570,52 PHOEBE ST ,Both Datasets
750853,399 HURON ST ,Both Datasets
750854,401 HURON ST ,Both Datasets
750855,403 HURON ST ,Both Datasets
750856,405 HURON ST ,Both Datasets
735723,18 KIMBERLEY AVE ,Both Datasets
207610,1 SOUTH ISLAND  ,Both Datasets
229761,407 BLOOR ST E,Both Datasets
732887,10 TURNTABLE CRES ,IBMS Data
732888,21 FOUNDRY AVE ,IBMS Data
728812,60 PRINCE EDWARD IS CRES ,IBMS Data
728813,50 PRINCE EDWARD IS CRES ,IBMS Data
733826,2666 MIDLAND AVE ,Both Datasets
207606,1 SOUTH ISLAND  ,Both Datasets
207607,1 SOUTH ISLAND  ,Both Datasets
736386,304 HILLSDALE AVE E,IBMS Data
214481,278 QUEEN ST W,Both Datasets
272829,6 ROWANWOOD AVE ,Both Datasets
751156,1-97 ELLESMERE RD ,Both Datasets
751157,85 ELLESMERE RD ,IBMS Data
729960,589 ADELAIDE ST W,IBMS Data
207608,1 SOUTH ISLAND  ,Both Datasets
207609,1 SOUTH ISLAND  ,Both Datasets
577968,15 JUDSON ST ,Both Datasets
698195,296 RICHMOND ST W,Both Datasets
578885,150 SYMES RD ,Both Datasets
735800,105 KING ST E,Both Datasets
735554,104 AVENUE RD ,IBMS Data
730401,104 A AVENUE RD ,IBMS Data
234301,169 FIRST AVE ,Both Datasets
835943,56 BINSCARTH RD ,IBMS Data
751164,436 CHURCH ST ,IBMS Data
702985,535 QUEEN ST E,Both Datasets
412142,16 PARKVIEW AVE ,Both Datasets
631314,19 COLONEL SAMUEL SMITH PARK DR ,Both Datasets
684959,670 YONGE ST ,Both Datasets
684960,668 YONGE ST ,Both Datasets
701150,417 SPADINA RD ,Both Datasets
741720,456 QUEEN ST W,Both Datasets
751588,9-11 HAZELTON AVE ,IBMS Data
211436,1 FRONT ST E,Both Datasets
269499,37 LYALL AVE ,Both Datasets
750864,4 ADELAIDE PL ,IBMS Data
751069,145 CLOUSTON AVE ,Both Datasets
751607,469 B KING ST W,IBMS Data
751083,508 EASTERN AVE ,Both Datasets
751693,250 BEECROFT RD ,Both Datasets
750728,5 YUKON PL ,IBMS Data
751107,21 ELM AVE ,Both Datasets
751108,8 AMELIA ST ,Both Datasets
751109,583 PARLIAMENT ST ,Both Datasets
751110,4 AMELIA ST ,IBMS Data
751111,8 AMELIA ST ,IBMS Data
751112,2 AMELIA ST ,IBMS Data
750886,1001 QUEEN ST W,Both Datasets
751123,33 BAY ST ,Both Datasets
751126,30 HARBOUR ST ,IBMS Data
751127,28 HARBOUR ST ,IBMS Data
751128,26 HARBOUR ST ,IBMS Data
751129,24 HARBOUR ST ,IBMS Data
751130,22 HARBOUR ST ,IBMS Data
751131,14 B HARBOUR ST ,IBMS Data
751132,14 A HARBOUR ST ,IBMS Data
751133,39 B BAY ST ,IBMS Data
751134,39 A BAY ST ,IBMS Data
751135,37 B BAY ST ,IBMS Data
751136,37 A BAY ST ,IBMS Data
751137,35 B BAY ST ,IBMS Data
751138,35 A BAY ST ,IBMS Data
751139,31 BAY ST ,IBMS Data
751140,29 BAY ST ,IBMS Data
754683,117 ST ANDREWS RD ,Both Datasets
754684,33 ST GEORGE ST ,Both Datasets
754686,17 TEMPERANCE ST ,Both Datasets
754687,70 THIRTY FIFTH ST ,Both Datasets
754688,39 ADELAIDE ST E,Both Datasets
754689,16 ADELAIDE ST W,Both Datasets
754692, AVENUE RD ,Both Datasets
754693,171 AVENUE RD ,Both Datasets
754694, BATHURST ST ,Both Datasets
754697, BLOOR ST E,Both Datasets
754698, BLOOR ST W,Both Datasets
792,1 FALLINGBROOK RD ,Both Datasets
754699, CHERRY ST ,Both Datasets
754700, CHESTNUT PK ,Both Datasets
754701,215 BURNHAMTHORPE RD ,Both Datasets
754704,23 GRENVILLE ST ,Both Datasets
754706, KING ST W,Both Datasets
754707,36 KING ST W,Both Datasets
754719, FINCH AVE E,Both Datasets
754724, CLAXTON BLVD ,Both Datasets
754725,94 FRONT ST E,Both Datasets
754726, FRONT ST W,Both Datasets
754728, COLLEGE ST ,Both Datasets
754732, HUMBER COLLEGE BLVD ,Both Datasets
754733, HUMBER COLLEGE BLVD ,Both Datasets
754734,401 R HURON ST ,Both Datasets
754735, INDIAN LINE ,Both Datasets
754797,2100 KINGSTON RD ,Both Datasets
754798,1755 MEADOWVALE RD ,Both Datasets
754799,1757 MEADOWVALE RD ,Both Datasets
754800,2300 MEADOWVALE RD ,Both Datasets
754801, ROSE PARK DR ,Both Datasets
754802,449 KIPLING AVE ,Both Datasets
754803, LAKE SHORE BLVD W,Both Datasets
754807, QUEEN ST W,Both Datasets
754808,390 OLD KINGSTON RD ,Both Datasets
754810,1 IBMS - HPS  ,Both Datasets
754812,1 IBMS - HPS  ,Both Datasets
754813, CHERRY ST ,Both Datasets
754814,1 IBMS - HPS  ,Both Datasets
754816,1 IBMS - HPS  ,Both Datasets
754817, GLEN CEDAR RD ,Both Datasets
754737,192 ISLINGTON AVE ,Both Datasets
754738,29 JARVIS ST ,Both Datasets
754740, GLEN RD ,Both Datasets
754741, GLEN RD ,Both Datasets
754745, TWYN RIVERS DR ,Both Datasets
754747, UNIVERSITY AVE ,Both Datasets
754748, UNIVERSITY AVE ,Both Datasets
754749,73 VICTORIA ST ,Both Datasets
754750,81 VICTORIA ST ,Both Datasets
754751, WALLACE AVE ,Both Datasets
754755,38 YONGE ST ,Both Datasets
754756,40 YONGE ST ,Both Datasets
754757,44 YONGE ST ,Both Datasets
754758,85 YONGE ST ,Both Datasets
754820,1 IBMS - HPS  ,Both Datasets
754823, MILLWOOD RD ,Both Datasets
754824, SHERWAY DR ,Both Datasets
754825, OLD MILL RD ,Both Datasets
761687,8 ST THOMAS ST ,Both Datasets
1031,1253 KINGSTON RD ,Both Datasets
754772,3 WELLINGTON ST W,Both Datasets
754773,5 WELLINGTON ST W,Both Datasets
754774,9 WELLINGTON ST W,Both Datasets
754775,11 WELLINGTON ST W,Both Datasets
754776,15 WELLINGTON ST W,Both Datasets
754780, PALMERSTON BLVD ,Both Datasets
754781, PALMERSTON BLVD ,Both Datasets
754783,303 PARLIAMENT ST ,Both Datasets
754784,327 PARLIAMENT ST ,Both Datasets
754790,35 PEMBROKE ST ,Both Datasets
1079,1355 KINGSTON RD ,Both Datasets
2458,236 WARDEN AVE ,Both Datasets
2668,1650 KINGSTON RD ,Both Datasets
2730,1660 KINGSTON RD ,Both Datasets
2822,1736 KINGSTON RD ,Both Datasets
2832,75 BIRCHMOUNT RD ,Both Datasets
4972,351 BIRCHMOUNT RD ,Both Datasets
4560,42 SCARBORO CRES ,Both Datasets
4717,68 CHINE DR ,Both Datasets
4774,2685 KINGSTON RD ,Both Datasets
5455,120 HIGHVIEW AVE ,Both Datasets
4911,171 MIDLAND AVE ,Both Datasets
6715,459 MIDLAND AVE ,Both Datasets
7593,531 VICTORIA PARK AVE ,Both Datasets
7594,533 VICTORIA PARK AVE ,Both Datasets
13042,1355 VICTORIA PARK AVE ,Both Datasets
15209,1745 VICTORIA PARK AVE ,Both Datasets
14483,1940 EGLINTON AVE E,Both Datasets
18316,2102 LAWRENCE AVE E,Both Datasets
19534,1-85 ELLESMERE RD ,Both Datasets
18949,1369 WARDEN AVE ,Both Datasets
23757,48 LAUREL AVE ,Both Datasets
23408,741 KENNEDY RD ,Both Datasets
23609,23 LAUREL AVE ,Both Datasets
23618,41 LAUREL AVE ,Both Datasets
24319,12 IONDALE PL ,Both Datasets
23786,786 DANFORTH RD ,Both Datasets
28467,37 KECALA RD ,Both Datasets
32781,51 OAKLEY BLVD ,Both Datasets
32185,996 BRIMLEY RD ,Both Datasets
34908,520 PROGRESS AVE ,Both Datasets
34506,146 ST ANDREWS RD ,Both Datasets
35166,544 BELLAMY RD N,Both Datasets
33401,1 ST ANDREWS RD ,Both Datasets
33409,115 ST ANDREWS RD ,Both Datasets
37683,525 BELLAMY RD N,Both Datasets
40315,972 DANFORTH RD ,Both Datasets
43965,2 ELGAR AVE ,Both Datasets
44996,52 TANSLEY AVE ,Both Datasets
48377,328 BELLAMY RD N,Both Datasets
51309,3800 ST CLAIR AVE E,Both Datasets
52075,27 HILL CRES ,Both Datasets
53949,14 CENTRE ST ,Both Datasets
52363,19 PARKCREST DR ,Both Datasets
55952,191 GUILDWOOD PKWY ,Both Datasets
58619,321 SCARBOROUGH GOLF CLUB RD ,Both Datasets
58656,24 STONEMANSE CRT ,Both Datasets
58694,225 CONFEDERATION DR ,Both Datasets
65880,165 CELESTE DR ,Both Datasets
70600,477 MANSE RD ,Both Datasets
69139,87 BENNETT RD ,Both Datasets
70533,12 OLD KINGSTON RD ,Both Datasets
70541,70 OLD KINGSTON RD ,Both Datasets
69966,4130 LAWRENCE AVE E,Both Datasets
70572,21 OLD KINGSTON RD ,Both Datasets
70573,27 OLD KINGSTON RD ,Both Datasets
70585,456 MANSE RD ,Both Datasets
70592,53 OLD KINGSTON RD ,Both Datasets
76368,6550 KINGSTON RD ,Both Datasets
76369,6540 KINGSTON RD ,Both Datasets
76373,6502 KINGSTON RD ,Both Datasets
75087,130 OLD KINGSTON RD ,Both Datasets
75334,1410 MILITARY TRL ,Both Datasets
75990,6170 KINGSTON RD ,Both Datasets
75419,1458 MILITARY TRL ,Both Datasets
76262,6282 KINGSTON RD ,Both Datasets
76263,6278 KINGSTON RD ,Both Datasets
82116,47 BEACHAM CRES ,Both Datasets
88677,3551 VICTORIA PARK AVE ,Both Datasets
90846,2900 WARDEN AVE ,Both Datasets
699117,320 GERRARD ST E,Both Datasets
93925,28 CRAYFORD DR ,Both Datasets
97872,4125 STEELES AVE E,Both Datasets
98611,14 ALLANFORD RD ,Both Datasets
102887,5 ROSS AVE ,Both Datasets
102951,29 LOCKIE AVE ,Both Datasets
103122,20 LOCKIE AVE ,Both Datasets
104920,2569 MIDLAND AVE ,Both Datasets
108257,3315 MIDLAND AVE ,Both Datasets
112566,33 MURRAY AVE ,Both Datasets
119922,2050 MCCOWAN RD ,Both Datasets
122547,44 MACKLINGATE CRT ,Both Datasets
122710,63 DELBURN DR ,Both Datasets
124680,635 MIDDLEFIELD RD ,Both Datasets
129875,5933 STEELES AVE E,Both Datasets
129889,400 PASSMORE AVE ,Both Datasets
130497,180 MCLEVIN AVE ,Both Datasets
130132,1795 MARKHAM RD ,Both Datasets
134564,100 DUNSFOLD DR ,Both Datasets
138674,1208 SEWELLS RD ,Both Datasets
138686,1051 TAPSCOTT RD ,Both Datasets
138066,5810 FINCH AVE E,Both Datasets
139418,17 GRAYSON CRES ,Both Datasets
140132,361 OLD FINCH AVE ,Both Datasets
140268,1749 MEADOWVALE RD ,IBMS Data
140282,9 BEARE RD ,IBMS Data
140296,2259 MEADOWVALE RD ,Both Datasets
140311,9 REESOR RD ,Both Datasets
140323,11 REESOR RD ,Both Datasets
140325,15 REESOR RD ,Both Datasets
140327,3-5 GORDON MURISON LANE ,IBMS Data
140329,21 BEARE RD ,Both Datasets
140333,8009 STEELES AVE E,Both Datasets
140339,18 REESOR RD ,Both Datasets
140400,1755 LAKE SHORE BLVD W,Both Datasets
140414,4 SOUTH KINGSWAY  ,Both Datasets
143505,4 MORNINGSIDE AVE ,Both Datasets
143652,15 OLYMPUS AVE ,Both Datasets
141972,181 ELLIS AVE ,Both Datasets
143160,93 LAVINIA AVE ,Both Datasets
143161,95 LAVINIA AVE ,Both Datasets
143162,83 DEFOREST RD ,Both Datasets
143744,22 DEFOREST RD ,Both Datasets
143774,2223 BLOOR ST W,Both Datasets
142664,210 RIVERSIDE DR ,Both Datasets
146361,164 EVELYN AVE ,Both Datasets
146366,146 EVELYN AVE ,Both Datasets
146373,24 A WOODSIDE AVE ,Both Datasets
144528,2178 BLOOR ST W,Both Datasets
144056,352 WINDERMERE AVE ,IBMS Data
146040,146 GLENDONWYNNE RD ,IBMS Data
146196,125 EVELYN AVE ,Both Datasets
147587,162 FAIRVIEW AVE ,Both Datasets
147712,372 ANNETTE ST ,Both Datasets
147725,223 A EVELYN AVE ,Both Datasets
147815,364 ANNETTE ST ,Both Datasets
147900,414 CLENDENAN AVE ,Both Datasets
147901,412 CLENDENAN AVE ,Both Datasets
147902,410 CLENDENAN AVE ,Both Datasets
147903,408 CLENDENAN AVE ,Both Datasets
147904,406 CLENDENAN AVE ,Both Datasets
147905,404 CLENDENAN AVE ,Both Datasets
147906,402 CLENDENAN AVE ,Both Datasets
147917,288 ANNETTE ST ,Both Datasets
147918,290 ANNETTE ST ,Both Datasets
147919,292 ANNETTE ST ,Both Datasets
147965,142 ST JOHN'S RD ,Both Datasets
148013,3351 DUNDAS ST W,Both Datasets
147475,154 GILMOUR AVE ,Both Datasets
150073,178 HIGH PARK AVE ,Both Datasets
150076,166 HIGH PARK AVE ,Both Datasets
150140,191 HIGH PARK AVE ,Both Datasets
150739,20 JEROME ST ,Both Datasets
149852,32 GOTHIC AVE ,Both Datasets
150470,261 KEELE ST ,Both Datasets
150471,263 KEELE ST ,Both Datasets
152926,340 HIGH PARK AVE ,Both Datasets
153529,2856 DUNDAS ST W,Both Datasets
153535,2896 DUNDAS ST W,Both Datasets
153547,2928 DUNDAS ST W,Both Datasets
153551,2946 DUNDAS ST W,Both Datasets
153557,437 PACIFIC AVE ,Both Datasets
153028,200 ANNETTE ST ,Both Datasets
153047,2975 DUNDAS ST W,Both Datasets
153051,2959 DUNDAS ST W,Both Datasets
153057,2945 DUNDAS ST W,Both Datasets
151284,243 PERTH AVE ,Both Datasets
153073,152 ANNETTE ST ,Both Datasets
152563,145 ANNETTE ST ,Both Datasets
153107,2903 DUNDAS ST W,Both Datasets
153108,2897 DUNDAS ST W,Both Datasets
153147,2881-2887 DUNDAS ST W,Both Datasets
153152,2859 DUNDAS ST W,Both Datasets
153164,2853 DUNDAS ST W,Both Datasets
153165,2847 DUNDAS ST W,Both Datasets
153166,2845 DUNDAS ST W,Both Datasets
152729,260 HIGH PARK AVE ,Both Datasets
152740,220 HIGH PARK AVE ,Both Datasets
152745,204 HIGH PARK AVE ,Both Datasets
153318,2694 DUNDAS ST W,Both Datasets
153464,2822 DUNDAS ST W,Both Datasets
153472,2854 DUNDAS ST W,Both Datasets
156057,28 GWYNNE AVE ,Both Datasets
156063,14 GWYNNE AVE ,Both Datasets
154145,3358 DUNDAS ST W,Both Datasets
154839,1601 LAKE SHORE BLVD W,Both Datasets
155456,1633 QUEEN ST W,Both Datasets
155457,1623 QUEEN ST W,Both Datasets
155458,1621 QUEEN ST W,Both Datasets
155459,1609 QUEEN ST W,Both Datasets
155460,1605 QUEEN ST W,Both Datasets
155467,7 TRILLER AVE ,Both Datasets
155488,1533 QUEEN ST W,Both Datasets
155512,2 WILSON PARK RD ,Both Datasets
155514,1526 KING ST W,Both Datasets
155515,1528 KING ST W,Both Datasets
155516,1530 KING ST W,Both Datasets
155517,1532 KING ST W,Both Datasets
155518,1534 KING ST W,Both Datasets
155519,1536 KING ST W,Both Datasets
155558,85 WILSON PARK RD ,Both Datasets
155580,32 BEATY AVE ,Both Datasets
155594,1516 KING ST W,Both Datasets
155595,1518 KING ST W,Both Datasets
154989,1211 KING ST W,Both Datasets
155608,39 BEATY AVE ,Both Datasets
155629,1501 QUEEN ST W,Both Datasets
155630,1497 QUEEN ST W,Both Datasets
155631,194 DOWLING AVE ,Both Datasets
155635,184 DOWLING AVE ,Both Datasets
155076,57 COWAN AVE ,Both Datasets
155077,59 COWAN AVE ,Both Datasets
155078,61 COWAN AVE ,Both Datasets
155080,65 COWAN AVE ,Both Datasets
155095,107 COWAN AVE ,Both Datasets
155696,1472 KING ST W,Both Datasets
153835,56 MARIA ST ,Both Datasets
155747,1479 QUEEN ST W,Both Datasets
155772,1427 QUEEN ST W,Both Datasets
155773,1407 QUEEN ST W,Both Datasets
155774,1405 QUEEN ST W,Both Datasets
155775,1399 QUEEN ST W,Both Datasets
155776,1395 QUEEN ST W,Both Datasets
155777,1387 QUEEN ST W,Both Datasets
155778,1381 QUEEN ST W,Both Datasets
155192,133 DUNN AVE ,Both Datasets
155199,149 DUNN AVE ,Both Datasets
155812,1351 QUEEN ST W,Both Datasets
155813,1349 QUEEN ST W,Both Datasets
155818,250 DUNN AVE ,Both Datasets
155824,208 DUNN AVE ,Both Datasets
155252,6 TRENTON TER ,Both Datasets
155253,8 TRENTON TER ,Both Datasets
155254,10 TRENTON TER ,Both Datasets
155255,12 TRENTON TER ,Both Datasets
155256,14 TRENTON TER ,Both Datasets
155257,16 TRENTON TER ,Both Datasets
155258,18 TRENTON TER ,Both Datasets
155259,20 TRENTON TER ,Both Datasets
155260,22 TRENTON TER ,Both Datasets
155856,1347 QUEEN ST W,Both Datasets
155858,1313 QUEEN ST W,Both Datasets
155859,220 COWAN AVE ,Both Datasets
155860,186 COWAN AVE ,Both Datasets
155908,53 MELBOURNE AVE ,Both Datasets
155930,201 COWAN AVE ,Both Datasets
155931,207 COWAN AVE ,Both Datasets
155933,1291 QUEEN ST W,Both Datasets
155938,1281 QUEEN ST W,Both Datasets
155939,1277 QUEEN ST W,Both Datasets
155940,1275 QUEEN ST W,Both Datasets
155941,1273 QUEEN ST W,Both Datasets
155944,78 ELM GROVE AVE ,Both Datasets
155946,74 ELM GROVE AVE ,Both Datasets
155948,68 ELM GROVE AVE ,Both Datasets
155993,1267 QUEEN ST W,Both Datasets
155994,1265 QUEEN ST W,Both Datasets
155995,1263 QUEEN ST W,Both Datasets
155997,1255 QUEEN ST W,Both Datasets
155998,1249 QUEEN ST W,Both Datasets
155999,1239 QUEEN ST W,Both Datasets
156000,1233 QUEEN ST W,Both Datasets
156633,228 RONCESVALLES AVE ,Both Datasets
157809,484 RONCESVALLES AVE ,Both Datasets
157810,482 RONCESVALLES AVE ,Both Datasets
157811,480 RONCESVALLES AVE ,Both Datasets
157812,478 RONCESVALLES AVE ,Both Datasets
157813,476 RONCESVALLES AVE ,Both Datasets
158410,1274 QUEEN ST W,Both Datasets
158412,1280 QUEEN ST W,Both Datasets
158415,1292 QUEEN ST W,Both Datasets
158416,1294 QUEEN ST W,Both Datasets
158418,1300 QUEEN ST W,Both Datasets
158419,1302 QUEEN ST W,Both Datasets
158423,1318 QUEEN ST W,Both Datasets
158424,1320 QUEEN ST W,Both Datasets
158427,1326 QUEEN ST W,Both Datasets
158428,1328 QUEEN ST W,Both Datasets
158429,1330 QUEEN ST W,Both Datasets
158430,1332 QUEEN ST W,Both Datasets
158431,1334 QUEEN ST W,Both Datasets
158432,1336 QUEEN ST W,Both Datasets
158433,1338 QUEEN ST W,Both Datasets
158434,1340 QUEEN ST W,Both Datasets
158435,1342 QUEEN ST W,Both Datasets
158436,1344 QUEEN ST W,Both Datasets
158437,1346 QUEEN ST W,Both Datasets
156183,1 MELBOURNE PL ,Both Datasets
156184,3 MELBOURNE PL ,Both Datasets
156185,5 MELBOURNE PL ,Both Datasets
156186,7 MELBOURNE PL ,Both Datasets
156187,6 MELBOURNE PL ,Both Datasets
156188,4 MELBOURNE PL ,Both Datasets
