   ,PROPX,PROPY,PROPERTYROLL,STATUSCODE,status,PRSN,ADDRESS,bylaw,details,P4_DATE,P5_DATE,LIST_DATE,BYLAW_P4,BYLAW_P5,HERT_CONSERV_DISTRICT,INTENT_DATE,CONTRIBUTING
13,314178.079,4835464.728,1904,1102,Part IV,746294,7 COLLEGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
14,314183.447,4835466.192,1904,1102,Part IV,746295,5 COLLEGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
15,314148.961,4835455.944,1904,1102,Part IV,746296,23 COLLEGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
16,314154.98,4835457.571,1904,1102,Part IV,746297,21 COLLEGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
17,314160.348,4835459.034,1904,1102,Part IV,746298,19 COLLEGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
18,314166.042,4835460.988,1904,1102,Part IV,746299,17 COLLEGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
19,314153.263,4835314.068,1.90E+18,1102,Part IV,746300,420 YONGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
20,312671.149,4837273.064,1904,1101,Listed,736688,296 MACPHERSON AVE ,,"Poplar Plains Pumping Station; 1906, R. McCallum; altered 1910, attributed to R. McCallum; altered 1914, attributed to W.W. Pearse; altered 1952 -adopted by City Council on September 23, 1985",,,23-Sep-85,,,,,NA
21,314506.21,4834295.692,1.90E+18,1101,Listed,736698,40 ADELAIDE ST W,,SEE 17 Temperance Street. This is part of the Bay Adelaide project,,,29-Jan-81,,,,,NA
22,313142.233,4833664.692,1904,1101,Listed,736711,463 KING ST W,,"Stone Ltd., later Salada Tea, 1901, Gouinlock & Baker; alt. 1910; alt. 1920; Wickson & Gregg -adopted by City Council on June 20, 1973.

Also, part of the King-Spadina Heritage Conservation District, adopted by City Council on October 4, 2017, by by-law 1241-2017, which is currently under appeal.",,,20-Jun-73,,,,,Y
23,315843.456,4834590.485,1904,1101,Listed,736712,340 KING ST E,,"Aluminum & Crown Stopper Company; 1907-08, Henry Simpson (north building on Parliament St.) -adopted by City Council on March 5, 1984",,,05-Mar-84,,,,,NA
24,315843.456,4834590.485,1904,1101,Listed,736712,340 KING ST E,,"Aluminum & Crown Stopper Company; 1911, F.H. Herbert (south building) -adopted by City Council on June 25 & 28, 1984",,,25-Jun-84,,,,,NA
25,314042.175,4833787.774,1904,1103,Part V,736713,55 SIMCOE ST ,634-2006,"Part of the Union Station Heritage Conservation District, enacted by City Council on July 27, 2006",,27-Jul-06,29-Jun-06,,634-2006,Union Station,,
26,313066.287,4840865.613,1.90E+18,1102,Part IV,736776,17 BROADWAY AVE ,1061-2009,"NORTH TORONTO COLLEGIATE
See 70 Roehampton Avenue",01-Oct-09,,,1061-2009,,,,
27,314552.47,4834316.743,1904,1101,Listed,736778,132 YONGE ST ,,SEE 17 Temperance Street. This is part of the Bay Adelaide project,,,29-Jan-81,,,,,NA
28,322837.997,4840468.36,1.90E+18,1102,Part IV,742346,80 BELL ESTATE RD ,1029-2007,"(aka 671 and 679 Warden Avenue) Bell Estate, Dec 9, 1988; Heritage Easement Agreement registered as Instrument No. AT626970 on Oct. 13, 2004; amended on  December 2, 2011 by Instrument No. AT2886485.  Designation by-law enacted by City Council on Sept 27, 2007.",27-Sep-07,,,1029-2007,,,,
29,312612.681,4837371.37,1904,1101,Listed,739322,35 POPLAR PLAINS RD ,,"Poplar Plains Pumping Station; 1906, R. McCallum; altered 1910, attributed to R. McCallum; altered 1914, attributed to W.W. Pearse; altered 1952 -adopted by City Council on September 23, 1985",,,23-Sep-85,,,,,NA
30,312753.323,4837387.863,1904,1101,Listed,739329,40 RATHNELLY AVE ,,"Poplar Plains Pumping Station; 1906, R. McCallum; altered 1910, attributed to R. McCallum; altered 1914, attributed to W.W. Pearse; altered 1952 -adopted by City Council on September 23, 1985",,,23-Sep-85,,,,,NA
31,312551.338,4836471.071,1.90E+18,1103,Part V,739999,63 MADISON AVE ,553-2019,"Semi-detached house, 1891 -adopted by City Council on Feb. 6, 1974.  Also part of the West Annex Phase 1 (Madison Avenue) Heritage Conservation District, enacted by LPAT Decision MM160011, dated January 10, 2019. ",,10-Jan-19,06-Feb-74,,553-2019,West Annex Phase 1,,Y
32,310541.264,4835345.91,1.90E+18,1102,Part IV,740742,701 DOVERCOURT RD ,74-2008,"Centennial Japanese Church, 1906; adopted by City Council on Dec. 2, 2004; Heritage Easement Agreement registered as Instrument No. AT1630454 on Nov 9, 2007; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Jan. 30 2008",30-Jan-08,,02-Dec-04,74-2008,,,,NA
33,310538.845,4835356.672,1904,1102,Part IV,740743,703 DOVERCOURT RD ,74-2008,"Centennial Japanese Church, 1906; adopted by City Council on Dec. 2, 2004; Heritage Easement Agreement registered as Instrument No. AT1630454 on Nov 9, 2007; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Jan. 30 2008",30-Jan-08,,02-Dec-04,74-2008,,,,NA
34,313686.77,4830079.626,1904,1102,Part IV,722578,535 LAKESHORE AVE ,852-79,"St. Andrew by the Lake; 1885, A.R. Denison; add. 1895; renovated 1984 -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Oct. 1, 1979",01-Oct-79,,20-Jun-73,852-79,,,,NA
35,313686.77,4830079.626,1904,1101,Listed,722578,535 LAKESHORE AVE ,,"Morrison Planter; 1876 -adopted by City Council on July 23, 1979",,,23-Jul-79,,,,,NA
36,313686.77,4830079.626,1904,1101,Listed,722578,535 LAKESHORE AVE ,,"Gibralter Point Lighthouse; 1806, Thomson, mason; Hanlan's Point -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
37,313686.77,4830079.626,1904,1101,Listed,722578,535 LAKESHORE AVE ,,"Pumping Station, filtration plant; 1915, Allen Hazen, designer -adopted by City Council on July 2, 1974",,,02-Jul-74,,,,,NA
38,314543.059,4834679.26,1.90E+18,1102,Part IV,218262,15 SHUTER ST ,501-1975  1349-2013  379-2014; 49-2015,"Massey Hall; 1893-94, design by S.R. Badgley, G.M. Miller, job supervisor, at Victoria St. (SW), -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975.  City Council approved the amendment of the Designating By-law July 16, 2013 and By-law 1349-2013 enacted October 8, 2013.   By-law 379-2014 to amend designating by-law by ameding the reasosn for designation to include the Albert Bldg and to amend the legal description to include the lands upon which the Albert Building is located - enacted and passed May 8, 2014.
By-law 49-2015 to amend By-law No. 501-75 (former City of Toronto), being a by-law to designate the property at 15 Shuter Street (Massey Hall) to be of architectural value and historic interest, by amending the legal description to include the lands removed from By-law No. 131-90 enacted and passed December 11, 2014.
",26-Nov-75,,20-Jun-73,501-1975  1349-2013  379-2014; 49-2015,,,,NA
39,314261.188,4837551.15,1904,1103,Part V,715473,170 C ROXBOROUGH ST E,115-2003,"House, c.1889, opposite Wrenthan Pl. -adopted by City Council on Dec. 10, 1975; Part of the South Rosedale Heritage Conservation District, enacted by City Council on Feb. 7, 2003",,07-Feb-03,10-Dec-75,,115-2003,South Rosedale,,
40,,,1904,1102,Part IV,229637,321 BLOOR ST E,107-89,SEE 333 Bloor Street East,26-Jan-89,,18-Aug-76,107-89,,,,NA
41,313967.347,4835972.527,1904,1102,Part IV,715070,15 ST JOSEPH ST ,177-97 / 235-2016,"3 attached warehouses, 1895, Dick & Wickson; add 1899, alt. 1908, Wickson & Gregg -adopted by City Council on March 15, 1974 -Designation By-law passed by City Council on April 14, 1997 (Heritage Easement Agreement Registered as Instrument No. E17217, on June 1, 1998) (Amending heritage easement agreement registered as Instrument No. e433274 on July 16, 2001)

Also part of the Historic Yonge Street Heritage Conservation District, enacted by City Council on March 10, 2016. By-law # 235-2016, which is currently under appeal.",14-Apr-97,10-Mar-16,15-Mar-74,177-97 / 235-2016,235-2016,Historic Yonge St.,,NA
42,314703.38,4837037.179,1904,1103,Part V,720460,37 C ELM AVE ,115-2003,"Part of the South Rosedale Heritage Conservation District, enacted by City Council on Feb. 7, 2003",,07-Feb-03,,,115-2003,South Rosedale,,
43,314703.38,4837037.179,1904,1103,Part V,720460,37 C ELM AVE ,115-2003,"Part of the South Rosedale Heritage Conservation District, enacted by City Council on Feb. 7, 2003.",,07-Feb-03,,,115-2003,South Rosedale,,
44,315236.137,4834460.721,1904,1102,Part IV,739638,264 B ADELAIDE ST E,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
45,315237.928,4834452.18,1904,1102,Part IV,739637,264 ADELAIDE ST E,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
46,314060.368,4837339.924,1904,1103,Part V,724915,76 CRESCENT RD ,115-2003,"Part of the South Rosedale Heritage Conservation District, enacted by City Council on Feb. 7, 2003",,07-Feb-03,,,115-2003,South Rosedale,,
47,314589.268,4835777.368,1904,1102,Part IV,719297,303 MUTUAL ST ,633-86,"Semi-detached House, 1863, for J. Blaikie & W. Alexander;includes the property formerly known as 372 Jarvis St; #400 alt. 1899 for J. Ryrie, Burke & Horwood; 404 alt. 1882 for M. Irish -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY",08-Sep-86,,20-Jun-73,633-86,,,,NA
48,311889.938,4833250.243,1904,1101,Listed,726453,98 STRACHAN AVE ,,SEE 915 King St. West,,,20-Jun-73,,,,,NA
49,324292.629,4854748.385,1.90E+18,1102,Part IV,741868,5951 STEELES AVE E,904-2006,"William Stonehouse house, DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Sept. 25, 26, 27, 2006",27-Sep-06,,,904-2006,,,27-Jul-06,NA
50,316024.981,4835861.489,1.90E+18,1103,Part V,742385,137 SPRUCE ST ,887-2005,"<<RENAMED>>

Part of the Cabbagetown South Heritage Conservation District, enacted by City Council on October 28, 2005",,28-Oct-05,,,887-2005,Cabbagetown South,,
51,,,1.90E+18,1103,Part V,210329,281 QUEEN ST W,979-2007,"Part of the Queen Street West Heritage Conservation District.  Adopted by City Council on Sept. 27, 2007.",,27-Sep-07,19-Jul-07,,979-2007,Queen Street West,,Y
52,,,1.90E+18,1103,Part V,210330,279 QUEEN ST W,979-2007,"Part of the Queen Street West Heritage Conservation District.  Adopted by City Council Sept 27, 2007.",,27-Sep-07,19-Jul-07,,979-2007,Queen Street West,,Y
53,,,1.90E+18,1102,Part IV,232236,226 KING ST E,897-98,"Imperial Bank, 1908, Darling & Pearson -adopted by City Council on Nov. 21 & 23, 1973 -Designation by-law passed by City Council on December 17, 1998 -Heritage Easement Agreement registered as Instrument No. CA578241 on December 17, 1998",17-Dec-98,,21-Nov-73,897-98,,,,NA
54,315202.127,4834441.785,1.90E+18,1102,Part IV,739629,252 ADELAIDE ST E,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
55,315207.934,4834447.612,1904,1102,Part IV,739630,256 ADELAIDE ST E,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
56,315227.458,4834449.15,1904,1102,Part IV,739631,260 ADELAIDE ST E,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
57,315187.691,4834461.107,1904,1102,Part IV,739632,99 GEORGE ST ,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
58,315190.583,4834451.147,1904,1102,Part IV,739633,97 GEORGE ST ,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
59,315215.324,4834449.861,1904,1102,Part IV,739634,258 ADELAIDE ST E,504-75,"Bank of Upper Canada; 1825-27, attrib. W.W. Baldwin; alterations and additions 1872-76 for de la Salle Institute, H. Langley; Also 4th Post Office 1833-34, John Richards, contractor -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 26, 1975 (Ontario Heritage Foundation Easement Agreement, Reg. on August 14, 1980).

Heritage Easement Agreement registered on May 21, 2015 as Instrument # AT3887618.",26-Nov-75,,20-Jun-73,504-75,,,,NA
60,314249.389,4831182.247,1904,1102,Part IV,723492,60 AVENUE OF THE ISLANDS  ,852-79,"St. Andrew by the Lake; 1885, A.R. Denison; add. 1895; renovated 1984 -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Oct. 1, 1979",01-Oct-79,,20-Jun-73,852-79,,,,NA
61,314249.389,4831182.247,1904,1101,Listed,723492,60 AVENUE OF THE ISLANDS  ,,"Morrison Planter; 1876 -adopted by City Council on July 23, 1979",,,23-Jul-79,,,,,NA
62,314249.389,4831182.247,1904,1101,Listed,723492,60 AVENUE OF THE ISLANDS  ,,"Gibralter Point Lighthouse; 1806, Thomson, mason; Hanlan's Point -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
63,314249.389,4831182.247,1904,1101,Listed,723492,60 AVENUE OF THE ISLANDS  ,,"Pumping Station, filtration plant; 1915, Allen Hazen, designer -adopted by City Council on July 2, 1974",,,02-Jul-74,,,,,NA
64,313672.562,4831653.286,1904,1102,Part IV,724805,750 LAKESHORE AVE ,852-79,"St. Andrew by the Lake; 1885, A.R. Denison; add. 1895; renovated 1984 -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Oct. 1, 1979",01-Oct-79,,20-Jun-73,852-79,,,,NA
65,313672.562,4831653.286,1904,1101,Listed,724805,750 LAKESHORE AVE ,,"Morrison Planter; 1876 -adopted by City Council on July 23, 1979",,,23-Jul-79,,,,,NA
66,313672.562,4831653.286,1904,1101,Listed,724805,750 LAKESHORE AVE ,,"Gibralter Point Lighthouse; 1806, Thomson, mason; Hanlan's Point -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
67,313672.562,4831653.286,1904,1101,Listed,724805,750 LAKESHORE AVE ,,"Pumping Station, filtration plant; 1915, Allen Hazen, designer -adopted by City Council on July 2, 1974",,,02-Jul-74,,,,,NA
68,314603.592,4831157.343,1904,1102,Part IV,722846,55 AVENUE OF THE ISLANDS  ,852-79,"St. Andrew by the Lake; 1885, A.R. Denison; add. 1895; renovated 1984 -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Oct. 1, 1979",01-Oct-79,,20-Jun-73,852-79,,,,NA
69,314603.592,4831157.343,1904,1101,Listed,722846,55 AVENUE OF THE ISLANDS  ,,"Morrison Planter; 1876 -adopted by City Council on July 23, 1979",,,23-Jul-79,,,,,NA
70,314603.592,4831157.343,1904,1101,Listed,722846,55 AVENUE OF THE ISLANDS  ,,"Gibralter Point Lighthouse; 1806, Thomson, mason; Hanlan's Point -adopted by City Council on June 20, 1973",,,20-Jun-73,,,,,NA
71,314603.592,4831157.343,1904,1101,Listed,722846,55 AVENUE OF THE ISLANDS  ,,"Pumping Station, filtration plant; 1915, Allen Hazen, designer -adopted by City Council on July 2, 1974",,,02-Jul-74,,,,,NA
72,313294.425,4834118.473,1904,1103,Part V,720646,397 QUEEN ST W,979-2007,"Adopted by City Council on July 16,17,18,19, 2007",,27-Sep-07,19-Jul-07,,979-2007,Queen Street West,,Y
