X,Y,Status,Address,ByLaw,Details,StatusCode
314960.106,4835209.982,Part IV,299 GEORGE ST,1242-2012,301George Street is the entrance address for 299 George Street.  301and 303 George Street (Frank Beecroft Houses),1102
314851.2268,4833948.503,Listed,27 FRONT STREET EAST - ST. LAWRENCE CENTRE, ,"Inclusion on the City's Inventory of Heritage Properties, adopted by City Council March 21, 2013.",1101
312790.7305,4836846.206,Listed,62 A BERNARD AVE, ,"Gamble Geddes House; 1891-1892 -adopted by City Council on July 2, 1974",1101
313087.052,4834402.613,Part IV,241 SPADINA AVE,75-86,"Consolidated Plate Glass Company, 1910, Wm. Steele and Sons -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on January 17th, 1986",1102
313718.7572,4831772.9,Listed,0 TORONTO ISLANDS W/LOT, ,"Ned Hanlan Memorial; c.1926, E. Hahn -adopted by City Council on June 20, 1973",1101
315391.632,4834519.562,Part IV,69 SHERBOURNE ST,262-2003,"Victoria Tin Works Building; 1883; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on April 16, 2003; Heritage Easement Agreement AT33619, registered on Nov. 7, 2002",1102
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Princess Margaret Fountain; 1958; Design Craft, fountain designers -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Part IV,2 STRACHAN AVE,459-93,"Exhibition Pl.; Government, Bldg., c.1912, G.W. Gouinlock, now Arts & Crafts Bldg. -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY City Council on August 30, 1993",1102
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"CNE Flagpole; 1977, Works Department, Municipality of Metropolitan Toronto, contractor -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Carlsberg Carillon; 1974; R.G. Watson Company, consulting engineers -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Part IV,2 STRACHAN AVE,254-96,"Exhibition Pl.; Coliseum, 1922 G.W.F. Price; annexes 1926, including the Cattle Building by J.J. Woolnough, City Architect -adopted by City Council on June 20, 1973 -Designation By-Law Passed by City Council on May 21, 1996",1102
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Dufferin Gate; 1959; Philip R. Brook, architect -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Firehall, c.1912, G.W. Gouinlock -adopted by City Council on June 20, 1973",1101
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Food Products Building; 1954; Richard A. Fisher, project architect -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Fort Rouille Site (archaeological); 1750-1751 -adopted by City Council on July 24 and 25, 1995",1101
312094.24,4832554.568,Part IV,2 STRACHAN AVE,392-2009,"Exhibition Pl.; Horticultural Bldg., 1907, G.W. Gouinlock -adopted by City Council on June 20, 1973",1102
312094.24,4832554.568,Part IV,2 STRACHAN AVE,821-88,"Exhibition Pl.; Horse Palace, 1931, J.J. Woolnough, City Architect -adopted by City Council on Jan. 22, 1979 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on September 15, 1988",1102
312094.24,4832554.568,Part IV,2 STRACHAN AVE,541-86,"Exhibition Pl.; Ontario Government Building; 1926, Chapman and Oxley, later known as the Carlsberg Bldg. -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 11, 1986",1102
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Better Living Centre; 1962; Marani, Morris and Allan, architects, (originally known as the Home Furnishings and Appliance Centre -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Part IV,2 STRACHAN AVE,445-87,"Exhibition Pl.; Princes' Gates, 1926-27, Chapman & Oxley, Sculpture by Charles D. McKechnie -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on June 15, 1987",1102
313566.213,4836321.751,Part IV,18 ST THOMAS ST,605-92,"Windsor Arms Hotel; 1927, Kirk Hyslop -adopted by City Council on Oct. 31 & Nov. 4, 1983 DESIGNATION BY-LAW passed by City Council on September 15, 1992 -Heritage Easement Agreement, Registered as Instrument No. CA430041 on October 1, 1996 (formerly know",1102
301938.567,4827840.96,Listed,70 THIRTY FIFTH ST, , ,1101
328940.4473,4853992.572,Part IV,1200 SEWELLS RD,25155,"Sewell's Suspension Bridge; DESIGNATION BY-LAW PASSED BY SCARBOROUGH CITY COUNCIL on June 24, 1997",1102
315617.738,4837990.674,Part IV,550 BAYVIEW AVE,986-2002,"Don Valley Brick Works; founded 1889; DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Nov. 28, 2002",1102
314545.495,4842178.332,Listed,2075 BAYVIEW AVE, ,"Donningvale Vaughan Estate, 1931",1101
314545.495,4842178.332,Listed,2075 BAYVIEW AVE, ,"Sunnybrook Health Science Centre, 1945-48",1101
314545.495,4842178.332,Listed,2075 BAYVIEW AVE, ,"J.S. McLean Estate, 1929",1101
314504.871,4842201.871,Listed,2130 BAYVIEW AVE, ,"William Booth Memorial College, 1961; Marani, Morris & Allen, adopted by City Council on June 16, 2005",1101
317826.314,4841623.052,Listed,770 DON MILLS RD, ,"Ontario Science Centre, 1967; Raymond Moriyama Architect; adopted by City Council on April 25-27, 2006",1101
317923.629,4837684.921,Listed,49 DONLANDS AVE, ,"St. David's Church, 1921, William Rae; addition in 1928 -adopted by City Council on May 28, 1984",1101
313040.601,4835707.156,Listed,79 ST GEORGE ST, ,"Nicholls House, 1885, -adopted by City Council on June 20, 1973",1101
313915.896,4836021.801,Listed,26 ST JOSEPH ST, ,"The Cloverhill Apartments, 1940; J. Gibb Morton, architect; Henry W. Phelan, original owner -adopted by City Council on June 15 and 16, 1992",1101
312891.33,4838306.762,Listed,111 ST CLAIR AVE W, ,"Imperial Oil Building, 1957; Mathers & Haldenby architects; adopted by City Council on February 1, 2 & 3, 2005",1101
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Queen Elizabeth Building; 1956-57; Page and Steele, architects -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Part IV,2 STRACHAN AVE,443-85,"Exhibition Pl.; Railways Bldg., 1908, G.W. Gouinlock, now Music Bldg., -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on June 17, 1985",1102
312094.24,4832554.568,Part IV,2 STRACHAN AVE,188-99,"Exhibition Pl.; Stanley Barracks, now Marine Museum, 1841, Royal Engineers -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on April 15, 1999",1102
312094.24,4832554.568,Part IV,2 STRACHAN AVE,540-86,"John Scadding Cabin, 1794; moved to present location in 1879 -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on August 11, 1986",1102
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Press Bldg., 1905, G.W. Gouinlock -adopted by City Council on June 20, 1973",1101
312094.24,4832554.568,Part IV,2 STRACHAN AVE,392-2009,"Exhibition Pl.: Automotive Bldg.; 1929; Douglas Kertland -adopted by City Council on June 20, 1973; Intention to Designate March 5, 2008.  Designation By-law enacted by City Council on April 6, 2009.",1102
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Shrine Peace Memorial; 1930; Charles Keck, Sculptor -adopted by City Council on May 3 and 4, 1993",1101
312094.24,4832554.568,Listed,2 STRACHAN AVE, ,"Exhibition Pl.; Bandshell 1936, Craig & Madill -adopted by City Council on June 20, 1973",1101
314712.515,4834742.39,Part IV,51 BOND ST,133-2009,"Metropolitan Church Parsonage and Community Building: Parsonage, 1906, Curry, Sproatt & Rolph; Community Building addition, 1929-30, J. Gibb Morton -adopted by City Council on Sept. 6, 1983; HEA (church) AT1687114) Jan 16/08.  Designation By-law enacted",1102
321919.4584,4836809.11,Part IV,83 A BEECH AVE,440-89,"Also part of 2236 Queen St. East, The Prince Edward Theatre and Apartments, 1913, (built for A. Webster); interior of theatre remodelled in 1930, Canadian Office and School Furniture Company, designers; in 1948 the theatre was renamed The Fox; interior l",1102
313293.614,4834748.556,Part IV,152 BEVERLEY ST,72-83,SEE 150 Beverley Street,1102
314123.642,4833350.783,Listed,222 BREMNER BLVD, ,"John Street Railway Gatehouse, c.1918 -adopted by City Council on June 20, 1973",1101
314123.642,4833350.783,Listed,222 BREMNER BLVD, ,"Switch Cabin D Manual Interlocking Tower; 1895, Grand Trunk Railway (original manual switch gear manufactured by Saby and Farmer) -adopted by City Council on Jan. 18, 1985",1101
314123.642,4833350.783,Part IV,222 BREMNER BLVD,385-96  1143-2008,"CP Roundhouse, Water Tower, Coaling Tower; Sanding Tower; 1929; 1929 -ADOPTED BY CITY COUNCIL ON SEPT. 4 AND 7, 1984 -Designation By-Law Passed by City Council on August 12, 1996, partially repealed by by-law No. 1143-2008 passed on Oct 30, 2008, located",1102
322644.653,4851579.211,Listed,2756 BRIMLEY RD, ,Johnson House,1101
316784.403,4835804.48,Part IV,275 A BROADVIEW AVE,11-79,"House; c.1895, later YMCA -adopted by City Council on Nov. 21, 1977 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Dec. 18, 1978",1102
313264.6562,4835258.771,Listed,33 ST GEORGE ST, ,SEE 184 College Street,1101
311926.723,4835230.803,Listed,PALMERSTON BLVD - STREETLAMPS, ,"Streetlamps; College Street to Bloor Street -adopted by City Council on June 20, 1973",1101
313700.22,4833993.951,Listed,263 ADELAIDE ST W, ,"Purman Building, 1915; adopted by City Council on May 17, 18, 19, 2005",1101
313078.3106,4832515.136,Listed,5 BATHURST ST REAR, ,"Now known as 5 Eireann Quay; Canada Malting Co.; J.S. Metcalfe, 1928 -adopted by City Council on June 20, 1973",1101
314546.077,4833506.77,Part IV,40 BAY ST,360-90,"Postal Delivery Bldg., 1939-1941; Charles Dolphin with C.D. Sutherland; addition 1946-1949 -adopted by City Council on June 20, 1973 Designation By-Law passed by CITY COUNCIL on June 25, 1990 
(Heritage Easement Agreement Registered as Instrument No. E0",1102
314109.919,4834908.266,Listed,604 BAY ST, ,"Gray Coach Bus Terminal; 1932 Charles Dolphin -adopted by City Council on May 19, 1987",1101
313936.689,4835571.28,Part IV,832 BAY ST,836-1999,"McLaughlin Motor Car Showroom, 1925, Hutton and Souter -adopted by City Council on June 15 & 16, 1989; DESIGNATION BY-LAW PASSED by City Council on Dec. 16, 1999",1102
313482.984,4834278.374,Listed,15 BEVERLEY ST, ,Samuel Caplan House,1101
313475.28,4834306.23,Listed,27 BEVERLEY ST, ,James Kelly House,1101
312749.755,4833155.878,Listed,BATHURST ST - BATHURST STREET BRIDGE, ,"Bathurst Street Bridge; originally Humber River Bridge; 1903; moved to present location in 1916; direction adjusted in 1931 -adopted by City Council on Jan. 28 & Feb. 1, 1985",1101
320337.4753,4835911.52,Listed,BEACHES, ,"Boardwalk -adopted by City Council on June 20, 1973",1101
312873.6745,4837772.038,Listed,AVENUE RD - BENVENUTO WALL;, ,"Benvenuto Wall; 1880-90, A. Page Brown; south of Edmund Av. (west side); adopted by City Council on Nov. 21 & 23, 1973",1101
316541.0386,4833917.131,Listed,312 CHERRY ST, ,"Century Coal Company; adopted by City Council on Oct. 28, 2004",1101
315420.994,4834396.307,Part IV,226 KING ST E,897-98,"Imperial Bank, 1908, Darling & Pearson -adopted by City Council on Nov. 21 & 23, 1973 -Designation by-law passed by City Council on December 17, 1998 -Heritage Easement Agreement registered as Instrument No. CA578241 on December 17, 1998",1102
306785.0933,4835556.75,Listed,223 A EVELYN AVE, ,"House, 1892 -adopted by City Council on April 1, 1982",1101
319526.06,4850474.347,Listed,3333 FINCH AVE E, ,St. Paul's Cemetery (church not included),1101
314185.6765,4836396.305,Listed,62 A CHARLES ST E, ,"Semi-Detached House; 1886 -adopted by City Council on March 15, 1974",1101
314416.9251,4836163.023,Part IV,89 A GLOUCESTER ST,78-79,See 89 Gloucester Street,1102
315833.204,4834582.392,Listed,334 KING ST E, ,"Aluminum & Crown Stopper Company; 1907-08, Henry Simpson (north building on Parliament St.) -adopted by City Council on March 5, 1984",1101
315833.204,4834582.392,Listed,334 KING ST E, ,"Aluminum & Crown Stopper Company; 1911, F.H. Herbert (south building) -adopted by City Council on June 25 & 28, 1984",1101
316008.09,4834666.887,Listed,463 KING ST E, ,"Wilkins Buildings, 1891, adopted by City Council on Feb. 14, 2006",1101
314618.0827,4834104.605,Listed,5 KING ST W, ,"Michie & Company, 1893, Smith & Gemmell -adopted by City Council on June 20, 1973; now includes the building formerly known as 1 King St W (Dominion Bank Building); (heritage easement agreement registered as Instrument No. e436044 on July 24, 2001)",1101
323105.728,4840060.174,Listed,300 DANFORTH RD, ,"Lily Cups Office Building, 1949; adopted by City Council on May 19, 2005",1101
321271.042,4839649.491,Part IV,305 DAWES RD,22-95,"Goulding Estate; DESIGNATION BY-LAW PASSED BY EAST YORK CITY COUNCIL on March 2, 1995",1102
313158.235,4833669.106,Listed,461 KING ST W, ,"Stone Ltd., later Salada Tea, 1901, Gouinlock & Baker; alt. 1910; alt. 1920; Wickson & Gregg -adopted by City Council on June 20, 1973",1101
313116.541,4833663.726,Listed,469 KING ST W, ,"Formerly Dominion Paper Box Co., 1907, J. Francis Brown -adopted by City Council on June 20, 1973",1101
314848.894,4834494.08,Part IV,103 CHURCH ST,35-86,"J. Frank Raw Ltd., 1930, Murray Brown (Assoc. A.G. Elton) -adopted by City Council on April 24, 1978 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on January 17, 1986 (heritage easement agreement, CT810856, Aug. 26/86)",1102
312655.1893,4837772.58,Listed,1 A CLARENDON CRES, ,SEE 1 Clarendon Cres,1101
312708.842,4835108.302,Listed,302 COLLEGE ST, ,"John N. Grant Building, 1882; adopted by City Council on Dec. 5, 6, 7, 2005",1101
315061.971,4836632.274,Listed,76 HOWARD ST, ,"House, 1887 -adopted by City Council on July 2, 1974",1101
315328.594,4834227.751,Part IV,145 FRONT ST E,205-77,"W. Davies & Company Pork Packing, first two stories in 1867; additions for J & J Taylor Safeworks, 1883, W.W. Blair -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on April 12, 1977",1102
315858.9384,4834477.328,Part IV,296 FRONT ST E,9-78,SEE 63 Parliament St,1102
316289.983,4834529.047,Listed,409 FRONT ST E, ,"Palace Street School, 1859, Joseph Sheard, architect; 1869 addition, William Irving, architect; 1890, addition for D'Arcy Hotel, David Roberts Jr., architect; 1891, addition completed by Sproatt and Rolph, architects; 1906, became Cherry Street Hotel - a",1101
313484.795,4836117.543,Listed,91 CHARLES ST W, ,"SEE 73 Queen's Park Crescent East (Men's Residence, Victoria College)",1101
315083.576,4834303.959,Listed,140 KING ST E, ,SEE 142 King St. East,1101
310757.804,4832162.439,Part IV,25 BRITISH COLUMBIA RD,541-86,Exhibition Pl.; Ontario Government Building - See 2 Strachan Avenue,1102
316019.113,4835392.262,Listed,591 DUNDAS ST E, ,"Dickinson Tower, Peter Dickinson, Page + Steele Architects; adopted by City Council on February 1, 2 & 3, 2005",1101
304271.791,4840669.713,Listed,217 KING ST E, ,Part of 215 King St E,1101
313572.9076,4836405.718,Part IV,96 BLOOR ST W,387-76,"S. Pearcy House; 1884, altered in 1926, Mathers & Haldenby; addition in 1963 (Lothian Mews), Webb, Zerafa & Menkes; altered in 1979-80, Daniel Li -adopted by City Council on Feb. 6, 1974 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on July 14, 1976 (heritag",1102
303758.147,4840503.209,Part IV,147 KING ST E,280-81,Part of 143-147 King St. East,1102
314096.0351,4835533.114,Part IV,23 GRENVILLE ST,235-84,see 25 Grenville Street,1102
301495.7006,4834329.231,Listed,215 BURNHAMTHORPE RD, , ,1101
312029.4471,4834863.363,Listed,COLLEGE ST - GATES AT PALMERSTON AV., ,"Gates at Palmerston Av. -adopted by City Council on June 20, 1973",1101
311224.4232,4838362.502,Listed,CLAXTON BLVD - CONNAUGHT (CLAXTON) GATES, ,"Connaught (Claxton) Gates, 1912-1913; adopted by City Council on February 1, 2 & 3, 2005",1101
329182.34,4853741.102,Listed,FINCH AVE E - MILNE BAILEY BRIDGE, ,"Milne Bailey Bridge, 1955 (also known as Finch Meander Bridge)",1101
311129.3472,4833212.397,Listed,KING ST W - RAILWAY UNDERPASS, ,"King Street Railway Underpass (at Atlantic Avenue); 1888; Charles Sproatt, City Engineer; B. Gibson, contractor; 1975 wooden deck for CN and CP replaced with concrete -adopted by City Council on February 24 and 25, 1992",1101
305487.912,4834391.206,Part IV,CATHERINE AV,1163-87,"Old Mill Bridge; DESIGNATION BY-LAW PASSED BY YORK  CITY COUNCIL on Aug. 4, 1987",1102
313898.3143,4837488.518,Listed,CHESTNUT PK - STREETLAMPS, ,"Streetlamps, brick sidewalk; c.1905, conceived by S.H. Townsend -adopted by City Council on June 20, 1973",1101
316949.6037,4833261.656,Listed,CHERRY ST - CHERRY STREET BRIDGE, ,"Cherry Street Bridge; 1931, Strauss Engineering Corporation, architects; Dominion Bridge Company; Foundation and Construction Company of Ontario Ltd., contractors/builders -adopted by City Council on February 24 and 25, 1992",1101
317247.0118,4832826,Listed,CHERRY ST - CHERRY BEACH, ,"Lifesaving Station, c. 1933; and Women's Change Room; adopted by City Council on Feb. 4, 5, 6, 7, 10, 11, 2003",1101
315768.1886,4837038.102,Part IV,BLOOR ST E - PRINCE EDWARD VIADUCT,378-88,"Prince Edward Viaduct; 1915-1919, Edmund Burke, Architect and Thomas Taylor, Project Design Engineer and Roland C. Harris, Commissioner, City of Toronto Public Works Department -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY C",1102
311758.1983,4835847.086,Listed,BLOOR ST W - GATES AT PALMERSTON BOULEVARD, ,"Gates at Palmerston Boulevard, adopted by City Council on June 20, 1973",1101
312469.3047,4835041.032,Listed,370 A COLLEGE ST, ,SEE 366 College st,1101
304127.962,4833321.312,Listed,130 HUMBERVALE BLVD, , ,1101
302024.848,4840525.09,Listed,6 HUMBERVIEW CRES, ,"Holley House, c. 1845",1101
314383.6937,4836323.58,Part IV,90 A ISABELLA ST,25-78,SEE 92 Isabella Street,1102
312487.434,4831701.155,Listed,1 ISLAND AIRPORT, ,"Toronto Island Airport Terminal Bldg.; 1939, J.G. Hedges, Arch., R.G. Saunders, Airport Engineer, F.J. Blair, Chief Engineer -adopted by City Council on June 3, 1982",1101
312487.434,4831701.155,Listed,1 ISLAND AIRPORT, ,"Toronto Island Airport Terminal Bldg; 1939, J.G. Hedges, Arch., R.G. Saunders, Airport Engineer, F.J. Blair, Chief Engineer, also known as 1 Island Airport -adopted by City Council on June 3, 1982",1101
328367.187,4846205.175,Listed,225 CONFEDERATION DR, ,Cummings-Fraser Estate; now known as Cedar Ridge Centre,1101
313606.5074,4837278.864,Listed,10 A GIBSON AVE, ,"Part of Philips Block: Row housing at 10-24 Gibson Avenue, 1906, W.N. Hutchison, Architect and builder; altered to duplexes in 1916 -adopted by City Council on May 2, 1983",1101
313596.5465,4837276.026,Listed,14 A GIBSON AVE, ,"Part of Philips Block: Row housing at 10-24 Gibson Avenue, 1906, W.N. Hutchison, Architect and builder; altered to duplexes in 1916 -adopted by City Council on May 2, 1983",1101
313594.7594,4837272.033,Listed,16 A GIBSON AVE, ,"Part of Philips Block: Row housing at 10-24 Gibson Avenue, 1906, W.N. Hutchison, Architect and builder; altered to duplexes in 1916 -adopted by City Council on May 2, 1983",1101
313586.655,4837273.127,Listed,18 A GIBSON AVE, ,"Part of Philips Block: Row housing at 10-24 Gibson Avenue, 1906, W.N. Hutchison, Architect and builder; altered to duplexes in 1916 -adopted by City Council on May 2, 1983",1101
313584.903,4837269.02,Listed,20 A GIBSON AVE, ,"Part of Philips Block: Row housing at 10-24 Gibson Avenue, 1906, W.N. Hutchison, Architect and builder; altered to duplexes in 1916 -adopted by City Council on May 2, 1983",1101
314605.398,4836232.205,Listed,125 EARL PL, ,"GLENDALE MANSIONS, 1923; ORIGINAL OWNER, MERRILL CORPORATION -Adopted by City Council on January 16 AND 17, 1995; formerly known as 3 Earl St.",1101
314629.133,4836239.214,Listed,135 EARL PL, ,"MERRILL MANSIONS, 1922; W.G. HUNT, ARCHITECT -Adopted by City Council on August 29, and 30, 1994; formerly known as 5 Earl St.",1101
313577.1647,4837270.351,Listed,22 A GIBSON AVE, ,"Part of Philips Block: Row housing at 10-24 Gibson Avenue, 1906, W.N. Hutchison, Architect and builder; altered to duplexes in 1916 -adopted by City Council on May 2, 1983",1101
313572.1616,4837268.884,Listed,24 A GIBSON AVE, ,"Part of Philips Block: Row housing at 10-24 Gibson Avenue, 1906, W.N. Hutchison, Architect and builder; altered to duplexes in 1916 -adopted by City Council on May 2, 1983",1101
314749.151,4835456.127,Part IV,296 JARVIS ST,223-88,See 300 Jarvis Street,1102
314738.559,4835470.175,Part IV,298 JARVIS ST,223-88,See 300 Jarvis Street,1102
