X,Y,Status,Address,ByLaw,Details,StatusCode
,,Listed,141 RIVERVIEW DR ,,"Eagle House, circa 1928",1101
,,Listed,0 MILLWOOD RD ,,"Leaside Bridge; adopted by City Council on April 16, 2005",1101
,,Listed,0 MILLWOOD RD ,,"Leaside Bridge; adopted by City Council on April 16, 2005",1101
,,Listed,0 TORONTO ISLANDS  ,,"Ned Hanlan Memorial; c.1926, E. Hahn -adopted by City Council on June 20, 1973",1101
,,Part IV,0 STRATHEARN RD ,1027-87,"Glen Cedar Bridge, at Strathearn Rd - SEE Glen Cedar Bridge",1102
,,Listed,0 MILLWOOD RD ,,"Leaside Bridge; adopted by City Council on April 16, 2005",1101
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 MIMICO AVE ,913-2014,"Wesley Mimico United Church.  City Council stated it's intention to designate 2 Station Road on November 13, 2013.  Designation By-law enacted and passed August 28, 2014.",1102
,,Listed,3131 LAKE SHORE BLVD W,,"Cumberland House; OHF Easement TB523323 registered on July 15, 1988",1101
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Listed,575 A COLLEGE ST ,,"Davis and Freeman Building, 1933-1934; Kaplan and Sprachman Architects;adopted by City Council on Oct, 26, 2005",1101
,,Listed,578 A COLLEGE ST ,,"Thomas Butler Building, c. 1909;adopted by City Council on Oct, 26, 2005",1101
,,Part IV,214 KING ST E,507-2019,"W.A. Drummond & Company Dairy Supply Warehouse, 1911, S.A. Waggett -adopted by City Council on January 18, 1985; Heritage Easement Agreement E464387, registered on Oct. 10, 2001; includes the property formerly known as 185 Frederick St and 204 King  St E; Designation By-law 506-2019 enacted and passed March 28, 2019.",1102
,,Listed,20 MCKEE AVE ,,"Joshua Cummer House, circa 1845, later second floor addition.",1101
,,Part IV,60 LAING ST ,567-92,"Maple Cottage, 1873, alt. 1890, site of ""Maple Leaf Forever"" tree -adopted by City Council on Sept. 10, 1981 DESIGNATION BY-LAW passed by City Council on September 14, 1992",1102
,,Part IV,285 MUTUAL ST ,633-86,"Semi-detached House, 1863, for J. Blaikie & W. Alexander;includes the property formerly known as 372 Jarvis St; #400 alt. 1899 for J. Ryrie, Burke & Horwood; 404 alt. 1882 for M. Irish -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY",1102
,,Part IV,1046 YONGE ST ,73-2008,"Now known as 1050 and 1052 Yonge St. Crescent Road Apartments; 1926, Charles Dolphin -adopted by City Council on May 2, 1983 (Heritage Easement Agreement Registered as Instrument No. C925867 on November 30, 1994).  Designation By-law 73-2008 enacted January 30, 2008.",1102
,,Listed,80 A YORK BLVD ,,"The following 14 buildings or building complexes on York University's Keele Campus were adopted by City Council On Nov. 30 & Dec. 1, 2, 4, and 7, 2009.  

Winter's College (1967), Staecie Science Library (1966), Scott Library (1970), Ross Building (1970), Atkinson College (1966), Tait McKenzie Physical Education (1966), Petrie Sciences (1968), Founder's College (1965), Osgoode Hall Law School (1968), McLaughlin College (1969), Farquarson Life Sciences Building (1970), Vanier College (1967), Lecture Hall One (1966).
",1101
,,Listed,80 A YORK BLVD ,,"York University.  Adopted by City Council on Sept. 27, 2006.  Jacob Snider (Hart) House.",1101
,,Part IV,80 A YORK BLVD ,15-2019,"The following three properties on the York University campus grounds: Abraham Hoover House, Jacob Stong House and Jacob Stong Barn, were adopted by City Council on Sept. 27, 2006.  Intention to designate stated on Nov. 30 and Dec. 1, 2, 4 and 7, 2009.  Abraham Hoover House was designated by By-law 15-2019.",1102
,,Listed,190 OBSERVATORY RD ,,"The following 14 buildings or building complexes on York University's Keele Campus were adopted by City Council On Nov. 30 & Dec. 1, 2, 4, and 7, 2009.  

Winter's College (1967), Staecie Science Library (1966), Scott Library (1970), Ross Building (1970), Atkinson College (1966), Tait McKenzie Physical Education (1966), Petrie Sciences (1968), Founder's College (1965), Osgoode Hall Law School (1968), McLaughlin College (1969), Farquarson Life Sciences Building (1970), Vanier College (1967), Lecture Hall One (1966).
",1101
,,Listed,190 OBSERVATORY RD ,,"York University.  Adopted by City Council on Sept. 27, 2006.  Jacob Snider (Hart) House.",1101
,,Part IV,190 OBSERVATORY RD ,15-2019,"The following three properties on the York University campus grounds: Abraham Hoover House, Jacob Stong House and Jacob Stong Barn, were adopted by City Council on Sept. 27, 2006.  Intention to designate stated on Nov. 30 and Dec. 1, 2, 4 and 7, 2009.  Abraham Hoover House was designated by By-law 15-2019.",1102
,,Listed,10 HOOVER RD ,,"The following 14 buildings or building complexes on York University's Keele Campus were adopted by City Council On Nov. 30 & Dec. 1, 2, 4, and 7, 2009.  

Winter's College (1967), Staecie Science Library (1966), Scott Library (1970), Ross Building (1970), Atkinson College (1966), Tait McKenzie Physical Education (1966), Petrie Sciences (1968), Founder's College (1965), Osgoode Hall Law School (1968), McLaughlin College (1969), Farquarson Life Sciences Building (1970), Vanier College (1967), Lecture Hall One (1966).
",1101
,,Listed,10 HOOVER RD ,,"York University.  Adopted by City Council on Sept. 27, 2006.  Jacob Snider (Hart) House.",1101
,,Part IV,10 HOOVER RD ,15-2019,"The following three properties on the York University campus grounds: Abraham Hoover House, Jacob Stong House and Jacob Stong Barn, were adopted by City Council on Sept. 27, 2006.  Intention to designate stated on Nov. 30 and Dec. 1, 2, 4 and 7, 2009.  Abraham Hoover House was designated by By-law 15-2019.",1102
,,Listed,5 KING ST W,,"Michie & Company, 1893, Smith & Gemmell -adopted by City Council on June 20, 1973; now includes the building formerly known as 1 King St W (Dominion Bank Building); (heritage easement agreement registered as Instrument No. e436044 on July 24, 2001)",1101
,,Part IV,68 YONGE ST ,278-90,SEE 1 King St. West,1102
,,Part IV,70 YONGE ST ,278-90,SEE 1 King St. West,1102
,,Part IV,66 YONGE ST ,278-90,SEE 1 King St. West,1102
,,Part IV,5365 LESLIE ST ,53-2001     520-2002,"Green Meadows, 1951; Now known as 18 Argus Court; AMENDING DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON JUNE 20, 2002; Heritage Easement Agremeent - Instrument No. E518209 on March 18, 2002",1102
,,Listed,10 LYNN WILLIAMS ST ,,"Liberty Storage Warehouse, 1929, Kaplan and Sprachman Architects, incorporating part of Central Prison Paint Shop, c.1879, attr. Kivas Tully Provincial Architect; adopted by City Council on Jan 31, Feb 1 & 2, 2006",1101
,,Listed,340 MAJOR ST ,,"This address includes the heritage buildings known as St. John's Hospital Convent Chapel (later known as Doctors Hospital Chapel, 1892-93; Frank Darling, architect -which was adopted by City Council on May 30, 2001 and part of the Harbord Village Heritage",1101
,,Listed,155 RICHMOND ST E,,"First Official Residence of the Roman Catholic Bishop of Upper Canada; 1832 -adopted by City Council on Sept. 23, 1985",1101
,,Part IV,393 BRUNSWICK AVE ,751-2004,"Loretto College School; 1914 Neil G. Beggs, architect -adopted by City Council on July 24, 25 & 26, 2001; Designation By-law enacted by City Council on Sept 30, 2004; Heritage Easement Agreement registered as Instrument No. AT649392 on November 4, 2004",1102
,,Listed,30 LYNN WILLIAMS ST ,,"Liberty Storage Warehouse, 1929, Kaplan and Sprachman Architects, incorporating part of Central Prison Paint Shop, c.1879, attr. Kivas Tully Provincial Architect; adopted by City Council on Jan 31, Feb 1 & 2, 2006",1101
,,Part IV,70 MILL ST ,154-76,See 55 Mill Street,1102
,,Listed,2335 JANE ST ,,"Jane Towers, 1968-1970; Uno Prii, architect; adopted by City Council on Jan 27, 28, 29, 2004",1101
,,Listed,200 PARKSIDE DR ,,"J.G. Howard/I./O.D.E. Gate, 1913 (at High Park Blvd), adopted by City Council on July 23 & 24, 1979",1101
,,Part IV,921 KING ST W,82-2008,"Massey-Harris, later Massey- Ferguson Ltd., c.1899, E.J. Lennox (also known as 100 Strachan Av.) -adopted by City Council on June 20, 1973 (heritage easement agreement, Registered C540536, February 2, 1989); DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Jan. 30, 2008",1102
,,Part V,7 BULWER ST ,979-2007,"Adopted by City Council on July 16,17,18,19, 2007",1103
,,Part V,316 QUEEN ST W,979-2007,"Adopted by City Council on July 16,17,18,19, 2007",1103
,,Part IV,470 TORONTO SHORELINE  ,1144-2019; 936-2020,"Hearn Generating Station, c. 1949; adopted by City Council on May 21, 22, 23, 2003.  Council stated it's Intention to Designate on March 28, 2019.  Designation By-Law passed by City Council on July 18, 2019. City Council amended the designating by-law to correct the legal description.",1102
,,Listed,86 BLOOR ST W,,"Physicians & Surgeons Building; 1922 - now known as 10 Bellair St - adopted by City Council on May 6 & 7, 1982 (amending heritage easement agreements Registered as Instrements No. CA628606 and CA628607 on September 30, 1999)",1101
,,Listed,88 BLOOR ST W,,"Physicians & Surgeons Building; 1922 - now known as 10 Bellair St - adopted by City Council on May 6 & 7, 1982 (amending heritage easement agreements Registered as Instrements No. CA628606 and CA628607 on September 30, 1999)",1101
,,Listed,4 TADDLE CREEK RD ,,"Botany Building and Greenhouse: 1931-32; Mathers & Haldenby, identified for convenience purposes as 12 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Mechanical Engineering Building: 1909; Darling and Pearson; front wing, 1947, Allward and Gouinlock: identified for convenience purposes as 5 King's College Road -adopted by City Council on June 20, 1973",1101
,,Part IV,4 TADDLE CREEK RD ,1360-2007,"Hygiene Building: 1925; Mathers and Haldenby; addition, 1931: later known as Fitzgerald Building -adopted by City Council on June 20, 1973; Heritage Easement Agreement CA803389 registered on June 18, 2003; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Dec",1102
,,Part IV,4 TADDLE CREEK RD ,129-90,"Hart House: 1911-1912; Sproatt and Rolph: Includes Soldiers' Tower: 1924; Sproatt and Rolph - Identified for convenience purposes as 7 Hart House Circle -Adopted by City Council on June 20, 1973 Designation by-law enacted by City Council on February 20, 1",1102
,,Listed,4 TADDLE CREEK RD ,,"Electrical Building: 1921; Darling and Pearson; Now known as Rosebrugh Building - Identified for convenience purposes as 4 Taddle Creek Road -Adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Convocation Hall:  1907; Darling and Pearson - Identified for convenience purposes as 31 King's College Circle -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Canadian Volunteers Memorial: c. 1870; C.E. Zollinkoffer - identified for convenience purposes at 14 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Sandford Fleming Laboratory: 1907; Darling and Pearson - identified for convenience purposes as 10 King's College Road -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Anatomy Building: 1912-1922; Darling and Pearson; now known as McMurrich Building; identified for convenience purposes as 12 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Canadian Gallery: 1951; Mathers and Haldenby - Identified for convenience purposes as 14 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Observatory: 1857; Cumberland and Storm; relocated 1908: later Students' Administration Council; identified for convenience purposes as 12 Hart House Circle -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"Simcoe Hall: 1923-1924; Darling and Pearson - Identified for convenience purposes as 27 King's College Circle -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"University College: 1856; Cumberland and Storm; restored after fire 1890, D.B. Dick; alterations 1922, Oxley and Bishop - identified for convenience purposes as 15 King's College Circle -adopted by City Council on June 20, 1973",1101
,,Listed,4 TADDLE CREEK RD ,,"University of Toronto Library: 1892, B.D. Dick; addition, 1912, Darling and Pearson; later known as Departments of French and English and Science and Medicine Library - identified for convenience purposes as 7 King's College Circle -adopted by City Counci",1101
,,Listed,4 TADDLE CREEK RD ,,"Samuel Sigmund Library: 1953-1954; Mathers and Haldenby - identified for convenience purposes as 9 King's College Circle -adopted by City COuncil on June 20, 1973",1101
,,Part IV,4 TADDLE CREEK RD ,88-76,"Mining Building, University of Toronto, c.1905; Darling & Pearson; DESIGNATION BY-LAW PASSED BY CITY COUNCIL  on March 17, 1976",1102
,,Listed,8 TADDLE CREEK RD ,,"Botany Building and Greenhouse: 1931-32; Mathers & Haldenby, identified for convenience purposes as 12 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Mechanical Engineering Building: 1909; Darling and Pearson; front wing, 1947, Allward and Gouinlock: identified for convenience purposes as 5 King's College Road -adopted by City Council on June 20, 1973",1101
,,Part IV,8 TADDLE CREEK RD ,1360-2007,"Hygiene Building: 1925; Mathers and Haldenby; addition, 1931: later known as Fitzgerald Building -adopted by City Council on June 20, 1973; Heritage Easement Agreement CA803389 registered on June 18, 2003; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Dec",1102
,,Part IV,8 TADDLE CREEK RD ,129-90,"Hart House: 1911-1912; Sproatt and Rolph: Includes Soldiers' Tower: 1924; Sproatt and Rolph - Identified for convenience purposes as 7 Hart House Circle -Adopted by City Council on June 20, 1973 Designation by-law enacted by City Council on February 20, 1",1102
,,Listed,8 TADDLE CREEK RD ,,"Electrical Building: 1921; Darling and Pearson; Now known as Rosebrugh Building - Identified for convenience purposes as 4 Taddle Creek Road -Adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Convocation Hall:  1907; Darling and Pearson - Identified for convenience purposes as 31 King's College Circle -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Canadian Volunteers Memorial: c. 1870; C.E. Zollinkoffer - identified for convenience purposes at 14 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Sandford Fleming Laboratory: 1907; Darling and Pearson - identified for convenience purposes as 10 King's College Road -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Anatomy Building: 1912-1922; Darling and Pearson; now known as McMurrich Building; identified for convenience purposes as 12 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Canadian Gallery: 1951; Mathers and Haldenby - Identified for convenience purposes as 14 Queen's Park Crescent West -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Observatory: 1857; Cumberland and Storm; relocated 1908: later Students' Administration Council; identified for convenience purposes as 12 Hart House Circle -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"Simcoe Hall: 1923-1924; Darling and Pearson - Identified for convenience purposes as 27 King's College Circle -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"University College: 1856; Cumberland and Storm; restored after fire 1890, D.B. Dick; alterations 1922, Oxley and Bishop - identified for convenience purposes as 15 King's College Circle -adopted by City Council on June 20, 1973",1101
,,Listed,8 TADDLE CREEK RD ,,"University of Toronto Library: 1892, B.D. Dick; addition, 1912, Darling and Pearson; later known as Departments of French and English and Science and Medicine Library - identified for convenience purposes as 7 King's College Circle -adopted by City Counci",1101
,,Listed,8 TADDLE CREEK RD ,,"Samuel Sigmund Library: 1953-1954; Mathers and Haldenby - identified for convenience purposes as 9 King's College Circle -adopted by City COuncil on June 20, 1973",1101
,,Part IV,8 TADDLE CREEK RD ,88-76,"Mining Building, University of Toronto, c.1905; Darling & Pearson; DESIGNATION BY-LAW PASSED BY CITY COUNCIL  on March 17, 1976",1102
,,Listed,217 KING ST E,,Part of 215 King St E,1101
,,Part IV,611 YONGE ST ,532-82; 281-2014,"SEE 2 Gloucester St.

By-law 281-2014  enacted and passed April 2014 to amend former City of Toronto By-law No. 532-82 being a by-law to designate 2 Gloucester Street (Masonic Hall Buildings) including the adjoining Charles Levey Houses at 8 Gloucester Street, which were included in the legal description of By-law No. 532-82 but not described in the original reasons for designation, under Part IV of the Ontario Heritage Act.  

Heritage Easement Agreement registered as Instrument No. AT5361106 on February 10, 2010.

Also part of the Historic Yonge Street Heritage Conservation District, enacted by City Council on March 10, 2016. By-law # 235-2016, which is currently under appeal.",1102
,,Part IV,5 AVONWICK GT ,221-2009,"Maryvale Farm, now Senator Frank O'Connor House, Garage and Outbuilding , 1932-1933.  Designation By-law enacted by City Council on February 25, 2009.  Also known as 60 Rowena Drive.",1102
,,Part IV,113 MAITLAND ST ,507-78   688-01,"Society of Friends Meeting House; 1911, J.A. MacKenzie, architect, part of 105 Maitland St,  now known as the National Ballet School -adopted by City Council on July 17, 1978 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on July17, 1978 AMENDING DESIGNATION B",1102
,,Part IV,99 MAITLAND ST ,507-78   688-01,"Society of Friends Meeting House; 1911, J.A. MacKenzie, architect, part of 105 Maitland St,  now known as the National Ballet School -adopted by City Council on July 17, 1978 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on July17, 1978 AMENDING DESIGNATION B",1102
,,Part IV,111 MAITLAND ST ,507-78   688-01,"Society of Friends Meeting House; 1911, J.A. MacKenzie, architect, part of 105 Maitland St,  now known as the National Ballet School -adopted by City Council on July 17, 1978 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on July17, 1978 AMENDING DESIGNATION B",1102
,,Part IV,105 MAITLAND ST ,507-78   688-01,"Society of Friends Meeting House; 1911, J.A. MacKenzie, architect, part of 105 Maitland St,  now known as the National Ballet School -adopted by City Council on July 17, 1978 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on July17, 1978 AMENDING DESIGNATION B",1102
,,Part IV,103 MAITLAND ST ,507-78   688-01,"Society of Friends Meeting House; 1911, J.A. MacKenzie, architect, part of 105 Maitland St,  now known as the National Ballet School -adopted by City Council on July 17, 1978 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on July17, 1978 AMENDING DESIGNATION B",1102
,,Part IV,101 MAITLAND ST ,507-78   688-01,"Society of Friends Meeting House; 1911, J.A. MacKenzie, architect, part of 105 Maitland St,  now known as the National Ballet School -adopted by City Council on July 17, 1978 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on July17, 1978 AMENDING DESIGNATION B",1102
,,Part IV,296 FRONT ST E,9-78,SEE 51 Parliament St,1102
,,Part IV,296 FRONT ST E,9-78,SEE 63 Parliament St,1102
,,Part IV,45 PARLIAMENT ST ,9-78,SEE 63 Parliament St,1102
,,Part IV,55 PARLIAMENT ST ,9-78,SEE 51 Parliament St,1102
,,Part IV,55 PARLIAMENT ST ,9-78,SEE 63 Parliament St,1102
,,Part V,37 ELM AVE ,115-2003,"Part of the South Rosedale Heritage Conservation District, enacted by City Council on Feb. 7, 2003",1103
,,Part IV,2533 LAKE SHORE BLVD W,1484-2013,Part of Mimico Estates.,1102
,,Part IV,2535 LAKE SHORE BLVD W,1484-2013,Part of Mimico Estates.,1102
,,Part V,110 A CRESCENT RD ,115-2003,"Part of the South Rosedale Heritage Conservation District, enacted by City Council on Feb. 7, 2003",1103
,,Listed,10 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,26 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,24 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,22 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,20 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,18 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,16 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,14 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,12 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,8 HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Listed,12 B HENRY ST ,,"Beverley Place (Hydro Block), 1978, A.J. Diamond Donald Schmitt and Company; adopted by City Council on March 5, 6, 2007",1101
,,Part IV,19 R RIVER ST ,255-96,"Now known as 31 Old Brewery Lane; Don Brewery, 1876-77, Smith and Gemmell, architects of the lager brewery building -adopted by City Council on March 4 and 5, 1996 -INTENTION TO DESIGNATE PASSED BY CITY COUNCIL on Mar 4 and 5, 1996 -Designation By-Law pas",1102
,,Part IV,5 YUKON PL ,392-2009,"Exhibition Pl.: Automotive Bldg.; 1929; Douglas Kertland -adopted by City Council on June 20, 1973; Intention to Designate March 5, 2008.  Designation By-law enacted by City Council on April 6, 2009.",1102
,,Listed,5 YUKON PL ,,"Exhibition Pl.; Shrine Peace Memorial; 1930; Charles Keck, Sculptor -adopted by City Council on May 3 and 4, 1993",1101
,,Listed,5 YUKON PL ,,"Exhibition Pl.; Bandshell 1936, Craig & Madill -adopted by City Council on June 20, 1973",1101
,,Listed,5 YUKON PL ,,"Exhibition Pl.; Princess Margaret Fountain; 1958; Design Craft, fountain designers -adopted by City Council on May 3 and 4, 1993",1101
,,Part IV,5 YUKON PL ,459-93,"Exhibition Pl.; Government, Bldg., c.1912, G.W. Gouinlock, now Arts & Crafts Bldg. -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY City Council on August 30, 1993",1102
,,Listed,5 YUKON PL ,,"CNE Flagpole; 1977, Works Department, Municipality of Metropolitan Toronto, contractor -adopted by City Council on May 3 and 4, 1993",1101
